Column1,Unnamed: 0,클럽명,선수명,출전 경기,득점,도움,공격 지역 패스,중앙 지역 패스,수비 지역 패스,태클,클리어링,인터셉트,차단,획득,블락,SHO,DRI,PHY,LOP,SHP,TAK,Position,Role,Detailed Role,url
0,0,강원,갈레고,4,3,0,46,36,9,10,3,6,6,24,8,64,44,33,84,81,30,FW,WF,Wide Threat,
1,1,강원,김대우,6,1,0,42,97,28,13,9,14,14,39,15,33,33,41,74,75,8,MF,CAM,Box crasher,https://www.youtube.com/watch?v=1m5mHXycxEw
2,2,강원,김대원,36,12,13,510,430,112,83,22,35,29,200,45,56,43,33,81,80,23,FW,WF,Wide Threat,https://www.youtube.com/watch?v=k8XoK69onew
3,3,강원,김동현,32,0,1,188,865,189,73,116,100,74,215,96,29,43,64,85,86,29,MF,CAM,Box crasher,https://www.youtube.com/watch?v=hJF8LffJuJ0
4,4,강원,코바야시,7,0,1,90,249,42,19,10,22,14,74,18,33,20,39,79,85,32,MF,CDM,Box to Box,
5,5,강원,정승용,38,2,1,428,782,341,104,152,122,81,211,99,64,38,57,69,86,41,DF,FB,Safety,https://www.youtube.com/watch?v=JfpuYkuWNQo
6,6,강원,임창우,38,2,1,163,1066,427,78,254,160,102,110,108,52,50,62,76,89,37,DF,FB,Progressor,https://www.youtube.com/watch?v=_QDXCbnNKag
7,7,강원,김영빈,38,4,0,44,887,499,47,264,157,73,134,107,47,0,57,90,88,34,DF,CB,Spreader,https://www.youtube.com/watch?v=8_IpFIa8GXI
8,8,강원,이정협,21,5,1,220,295,30,7,14,13,2,76,14,63,20,44,66,73,0,FW,CF,Roamer,https://www.youtube.com/watch?v=vV30p-pUMhc
9,9,강원,김진호,25,3,2,287,528,118,50,69,58,41,123,57,50,52,44,72,89,38,DF,FB,Safety,https://www.youtube.com/watch?v=rgtGu-91PxM
10,10,강원,한국영,3,0,0,18,101,12,11,7,8,5,17,9,0,0,71,85,91,36,MF,CAM,Box crasher,
11,11,강원,이웅희,2,0,0,1,50,19,0,18,12,5,8,13,0,0,76,80,86,0,MF,CAM,Box crasher,
12,12,강원,디노,2,2,0,25,52,1,7,6,3,2,13,1,50,0,47,78,64,29,FW,CF,Roamer,
13,13,강원,윤석영,31,1,2,63,779,308,32,183,117,52,93,76,50,67,47,84,90,34,DF,CB,SCB,https://www.youtube.com/watch?v=n6Hrtb31f0U
14,14,강원,유상훈,37,0,0,0,5,760,1,41,148,3,56,6,0,0,100,34,100,100,GK,GK,Goalkeeper,https://www.youtube.com/watch?v=hjT_ZIIOGWc
15,15,강원,케빈,11,1,0,51,347,86,25,26,32,34,59,23,57,30,45,86,86,40,MF,CAM,Box crasher,https://www.youtube.com/watch?v=dVYklmAftxQ
16,16,강원,발샤,6,2,0,38,78,3,7,6,4,3,19,3,76,45,32,56,76,14,FW,CF,Finisher,https://www.youtube.com/watch?v=o2YJ-fwPJH0
17,17,강원,서민우,32,0,1,149,776,313,109,96,113,117,199,78,55,0,52,88,86,32,MF,CAM,Box crasher,https://www.youtube.com/watch?v=2IC5NzLjrcQ
18,18,강원,강지훈,10,0,1,79,199,48,24,22,23,22,41,22,40,27,48,70,82,12,DF,FB,Safety,https://www.youtube.com/watch?v=oEN1qw8mKFk
19,19,강원,양현준,32,8,4,346,369,92,67,20,32,31,143,37,37,54,35,75,79,42,FW,WF,Wide Threat,https://www.youtube.com/watch?v=dFtn4ogaRGo
20,20,강원,황문기,13,3,0,123,258,56,36,23,29,23,111,18,48,33,43,72,77,33,MF,CDM,Builder,https://www.youtube.com/watch?v=2Qjqxpw9ftc
21,21,경남,모재현,28,6,6,243,348,67,46,20,44,34,157,34,62,44,42,77,81,46,FW,WF,Wide Threat,https://www.youtube.com/watch?v=Mw6tc1aJV5w
22,22,경남,서재원,5,1,0,22,31,9,7,9,8,10,26,16,57,29,31,62,74,14,MF,CDM,Builder,
23,23,경남,김명준,31,1,1,16,1007,855,46,243,127,61,69,88,50,67,68,85,92,46,DF,CB,Aggressor,https://www.youtube.com/watch?v=lJNPpUMjjeQ
24,24,경남,설현진,4,0,0,26,66,24,11,8,9,5,30,7,67,0,51,67,76,27,FW,WF,Wide Threat,
25,25,경남,정충근,13,3,1,90,153,23,24,14,27,21,75,33,74,33,39,70,81,46,FW,CF,Finisher,https://www.youtube.com/watch?v=zI9zwaugMu4
26,26,경남,김범용,16,0,0,121,582,174,46,59,87,38,125,49,38,100,49,77,90,37,MF,CAM,Creator,https://www.youtube.com/watch?v=XjiwC4NGWFU
27,27,경남,손정현,24,0,0,0,6,638,1,16,101,1,45,4,0,0,0,62,100,100,GK,GK,Goalkeeper,https://www.youtube.com/watch?v=oDOKG81S_og
28,28,경남,박재환,27,2,0,21,635,513,21,226,89,35,64,65,43,0,69,86,93,29,DF,CB,Spreader,https://www.youtube.com/watch?v=jsZoU5AdqLY
29,29,경남,김세윤,2,0,2,7,50,11,7,2,10,6,12,7,0,0,33,93,85,0,MF,CAM,Box crasher,
30,30,경남,김영찬,17,1,0,5,580,341,11,118,75,17,52,45,80,0,65,90,91,36,DF,CB,Aggressor,https://www.youtube.com/watch?v=zgWH3ElUD-M
31,31,경남,김종필,4,0,0,7,116,60,6,23,19,9,17,16,33,0,58,77,95,33,DF,CB,SCB,
32,32,경남,이준재,20,1,1,197,405,209,48,108,57,38,85,60,57,49,56,76,83,67,DF,FB,Safety,https://www.youtube.com/watch?v=2682lwR3Qls
33,33,경남,에르난데스,25,12,8,251,320,37,33,28,23,22,137,24,56,32,41,82,79,52,FW,CF,Roamer,https://www.youtube.com/watch?v=Bwq9LEvaWtw
34,34,경남,박민서,16,3,2,143,228,65,51,20,34,26,111,25,49,32,42,62,70,35,MF,CDM,Builder,https://www.youtube.com/watch?v=wiOsbU65vP8
35,35,경남,이재명,8,0,1,73,186,93,12,18,24,15,38,18,0,25,48,82,91,42,DF,FB,Safety,https://www.youtube.com/watch?v=w5rS_SNUASE
36,36,경남,엘리아르도,4,0,1,26,43,1,5,2,3,3,12,1,25,0,33,64,62,20,FW,CF,Finisher,
37,37,경남,카스트로,8,1,0,45,140,31,14,15,16,22,70,17,42,0,45,78,76,71,MF,CAM,Box crasher,https://www.youtube.com/watch?v=6CNK1ZtMjMg
38,38,경남,이광진,32,2,8,162,1328,364,91,80,164,76,272,81,70,37,61,82,85,37,MF,CAM,Creator,https://www.youtube.com/watch?v=TFROJ4WJ_r0
39,39,경남,이광선,8,0,0,23,134,130,4,68,28,13,16,19,100,0,67,83,86,25,DF,CB,Spreader,https://www.youtube.com/watch?v=sLy8SrV2NaM
40,40,경남,박광일,17,0,6,163,474,167,27,45,44,23,86,26,100,40,41,81,88,56,DF,FB,Safety,https://www.youtube.com/watch?v=TJXeOyruIWM
41,41,경남,우주성,9,0,0,64,282,113,19,37,38,16,36,19,50,50,54,76,85,32,DF,FB,Progressor,https://www.youtube.com/watch?v=qzbB1jd_OzM
42,42,경남,이우혁,28,0,1,101,1092,328,59,86,110,58,179,92,44,50,48,85,88,42,MF,CAM,Creator,https://www.youtube.com/watch?v=Sx6l0yxxlnA
43,43,경남,이지승,12,0,0,79,338,92,32,38,56,27,105,28,56,0,42,80,89,22,MF,CAM,Box crasher,https://www.youtube.com/watch?v=XjiwC4NGWFU
44,44,경남,하남,10,2,0,58,79,12,18,12,1,14,40,9,67,40,45,62,72,39,FW,CF,Finisher,https://www.youtube.com/watch?v=X3C01I8D0EQ
45,45,경남,티아고93,32,19,3,200,361,22,40,22,25,23,116,38,51,19,46,72,71,40,FW,CF,Finisher,https://www.youtube.com/watch?v=XGt3mNRYIQg
46,46,경남,고경민,18,4,1,164,242,38,28,11,20,24,103,19,57,28,44,71,76,25,FW,CF,Roamer,https://www.youtube.com/watch?v=k5I_XZMl_h4
47,47,경남,고동민,19,0,0,0,5,571,1,30,66,1,36,4,0,0,100,62,99,100,GK,GK,Goalkeeper,https://www.youtube.com/watch?v=3TkNTyrgyzE
48,48,광주,이으뜸,23,2,9,323,403,134,38,73,53,26,101,46,38,42,52,74,84,32,DF,FB,Safety,https://www.youtube.com/watch?v=GsfkFSbTj-4
49,49,광주,이건희,8,6,1,103,121,8,7,8,2,6,38,6,39,40,47,73,68,57,FW,CF,Target,https://www.youtube.com/watch?v=85gc0l1y40s
50,50,광주,김승우,3,0,0,6,103,28,5,28,12,10,8,10,0,0,38,87,89,20,MF,CAM,Box crasher,
51,51,광주,이민기93,17,1,1,235,382,119,27,50,55,43,81,35,45,56,60,67,83,41,DF,FB,Safety,https://www.youtube.com/watch?v=wPaj69BEnao
52,52,광주,이상기,18,1,1,218,304,119,33,58,39,27,58,45,56,43,55,79,83,30,DF,FB,Safety,https://www.youtube.com/watch?v=olf4dtzzgCY
53,53,광주,이순민,28,2,0,218,1306,278,78,102,118,65,212,87,52,53,65,88,88,38,MF,CAM,Creator,https://www.youtube.com/watch?v=tMN83e9xoXg
54,54,광주,정호연,30,1,4,376,1220,224,84,56,74,58,245,58,48,68,60,90,91,31,MF,CAM,Creator,https://www.youtube.com/watch?v=b3db-463Lt0
55,55,광주,이준,5,0,0,0,1,114,0,7,19,0,8,0,0,0,0,54,100,0,GK,GK,Goalkeeper,https://www.youtube.com/watch?v=LaGJ7YtpxAQ
56,56,광주,하승운,13,2,4,177,216,30,25,2,9,9,67,12,76,67,43,91,86,36,FW,WF,Wide Threat,https://www.youtube.com/watch?v=6FUy3CrVu2w
57,57,광주,김종우,10,3,1,137,446,56,31,14,25,34,70,22,60,50,52,90,87,45,MF,CDM,Distributor,https://www.youtube.com/watch?v=2uB9STxGlVc
58,58,광주,김재봉,27,0,0,26,761,548,33,173,116,54,77,55,29,50,59,86,93,39,DF,CB,Aggressor,https://www.youtube.com/watch?v=078VG1DTCTM
59,59,광주,이희균,10,0,0,136,430,84,44,14,35,20,92,19,55,67,39,88,87,32,MF,CAM,Creator,https://www.youtube.com/watch?v=SDk_meqN0ZE
60,60,광주,김현훈,20,0,0,58,491,236,33,120,66,44,52,57,67,0,62,85,89,58,DF,CB,Spreader,https://www.youtube.com/watch?v=sXFaDgfte6c
61,61,광주,마이키,13,4,3,175,199,25,18,9,20,10,82,19,71,70,43,84,86,72,FW,WF,Wide Threat,https://www.youtube.com/watch?v=0SRYVMQ9W54
62,62,광주,두현석,26,4,2,429,574,204,59,66,67,32,121,36,50,39,45,77,87,36,DF,FB,Safety,https://www.youtube.com/watch?v=o61PwGUJj7o
63,63,광주,허율,15,6,4,141,159,18,8,20,7,8,61,16,48,31,54,71,71,12,FW,CF,Roamer,https://www.youtube.com/watch?v=8GnnBVUwf3k
64,64,광주,산드로,15,7,4,164,248,19,15,9,4,7,61,21,47,20,44,85,77,13,FW,CF,Roamer,https://www.youtube.com/watch?v=qV2rTjDgBmo
65,65,광주,박한빈,34,3,6,150,1182,473,70,88,146,59,192,44,57,50,54,91,91,53,MF,CAM,Creator,https://www.youtube.com/watch?v=yEJENYlPMX0
66,66,광주,헤이스,35,12,4,536,664,42,82,29,26,50,166,60,58,46,46,86,81,45,FW,WF,Unlocker,https://www.youtube.com/watch?v=CQEvsv5fa-0
67,67,광주,아론,17,3,1,129,388,174,23,113,65,38,47,48,47,67,58,90,81,39,DF,CB,Spreader,https://www.youtube.com/watch?v=wPaj69BEnao
68,68,광주,엄지성,22,9,1,276,334,31,40,18,26,37,101,58,57,43,50,73,79,28,FW,WF,Wide Threat,https://www.youtube.com/watch?v=vmgq1cYqjpA
69,69,광주,안영규,35,1,1,135,1144,418,47,294,168,67,126,112,29,75,72,82,93,47,DF,CB,Spreader,https://www.youtube.com/watch?v=_h4t60jPWLU
70,70,김천,명준재,6,3,0,100,65,21,9,5,8,9,36,13,100,29,28,79,84,33,FW,WF,Wide Threat,
71,71,김천,김정훈,7,0,0,0,0,229,0,7,25,1,15,0,0,0,0,83,99,0,GK,GK,Goalkeeper,https://www.youtube.com/watch?v=CVrckeT0-4Y
72,72,김천,황인재,16,0,0,0,1,519,1,16,83,0,28,2,0,0,0,67,100,100,GK,GK,Goalkeeper,https://www.youtube.com/watch?v=V9pVTHxcZME
73,73,김천,송주훈,12,0,0,24,427,275,18,68,56,29,39,33,0,33,65,90,91,28,DF,CB,Aggressor,https://www.youtube.com/watch?v=-A9qRR8L6yQ
74,74,김천,박지수,27,1,1,38,983,764,57,145,110,63,78,69,38,67,65,86,94,44,DF,CB,Aggressor,https://www.youtube.com/watch?v=lAqI2yVmFxk
75,75,김천,김주성,10,0,0,17,403,237,12,61,44,19,36,39,0,100,64,96,95,50,DF,CB,Aggressor,https://www.youtube.com/watch?v=9ZlNvZBpko0
76,76,김천,이준석,7,0,1,71,56,21,2,7,9,8,23,8,50,36,33,85,79,0,FW,WF,Wide Threat,
77,77,김천,김준범,9,2,1,142,253,29,27,8,12,12,48,16,60,38,51,81,83,48,MF,CDM,Box to Box,https://www.youtube.com/watch?v=R6GwTQ4a35o
78,78,김천,하창래,18,0,0,23,533,441,39,114,85,45,68,56,17,33,58,87,90,31,DF,CB,Aggressor,https://www.youtube.com/watch?v=ZT9mHf2KdcU
79,79,김천,윤석주,6,0,0,40,387,103,21,16,28,17,50,18,50,0,39,95,92,48,MF,CAM,Creator,https://www.youtube.com/watch?v=uxviINa-B2s
80,80,김천,이유현,9,0,0,150,367,132,9,22,28,21,43,20,67,50,36,80,93,78,DF,FB,Progressor,https://www.youtube.com/watch?v=0OITGSH8mQE
81,81,김천,김한길,21,2,2,287,389,113,37,37,30,24,81,37,33,58,46,81,86,32,DF,FB,Safety,https://www.youtube.com/watch?v=fCIfDdSFlNQ
82,82,김천,박상혁,8,1,0,105,142,21,18,1,14,18,47,18,69,50,28,81,85,6,MF,CDM,Builder,https://www.youtube.com/watch?v=MCtHXxA69-w
83,83,김천,이영재,32,3,7,445,1047,249,76,19,76,51,251,43,51,56,47,86,87,30,MF,CDM,Distributor,https://www.youtube.com/watch?v=1r0ZrbQ4jCA
84,84,김천,강윤성,27,0,1,391,717,336,56,70,91,54,136,58,55,60,44,81,89,41,DF,FB,Safety,https://www.youtube.com/watch?v=6P4TxQyPx70
85,85,김천,문지환,12,0,0,64,508,192,32,32,52,24,65,18,0,0,44,90,92,22,MF,CAM,Creator,https://www.youtube.com/watch?v=BZPL3-3rIQg
86,86,김천,유인수,22,3,0,314,615,191,46,80,55,43,107,62,54,40,50,83,89,30,DF,FB,Safety,https://www.youtube.com/watch?v=IAJhkjRMCrk
87,87,김천,고승범,21,0,2,360,727,140,70,24,41,36,151,28,57,40,41,89,87,33,MF,CDM,Distributor,https://www.youtube.com/watch?v=dxq1BngT5g4
88,88,김천,한찬희,6,0,0,46,214,56,21,12,13,9,40,13,43,0,61,88,83,19,MF,CAM,Creator,https://www.youtube.com/watch?v=PMWhnQy2WsE
89,89,김천,김지현,22,4,2,229,231,37,29,17,10,15,48,14,53,25,49,84,83,24,FW,CF,Roamer,https://www.youtube.com/watch?v=iT9ojX5J3dE
90,90,김천,임승겸,9,0,0,10,319,251,12,33,36,17,34,19,50,0,43,92,85,17,DF,CB,Aggressor,https://www.youtube.com/watch?v=hewevQTHYLI
91,91,김천,권창훈,21,0,2,314,431,92,49,10,23,31,129,30,51,39,44,79,83,24,FW,CF,Target,https://www.youtube.com/watch?v=O1cpGLCOMGE
92,92,김천,김륜성,2,0,0,21,69,50,5,8,13,3,6,9,0,100,38,86,89,40,DF,FB,Safety,
93,93,김천,구성윤,15,0,0,0,4,459,0,17,67,0,34,3,0,0,0,62,99,0,GK,GK,Goalkeeper,https://www.youtube.com/watch?v=XPbllHKAUYA
94,94,김천,김경민97,8,6,2,73,72,14,12,5,5,5,24,11,68,48,32,80,77,25,FW,WF,Wide Threat,https://www.youtube.com/watch?v=MG1ona9jcOA
95,95,김천,정승현,21,1,0,15,756,437,36,130,85,37,46,66,50,25,63,86,96,28,DF,CB,Aggressor,https://www.youtube.com/watch?v=DYXhpR3ynTs
96,96,김천,정동윤,7,0,0,113,228,55,13,21,16,12,20,10,67,71,41,74,87,8,DF,FB,Progressor,
97,97,김포,이규로,15,1,0,89,351,181,37,50,54,28,77,53,86,0,46,66,84,46,DF,FB,Safety,https://www.youtube.com/watch?v=V4wIR-FESHE
98,98,김포,김종석,31,2,3,236,885,147,60,60,88,34,252,50,53,58,51,87,86,27,MF,CAM,Box crasher,https://www.youtube.com/watch?v=Wi5g0Mjkxjo
99,99,김포,나성은,10,2,1,81,102,32,26,13,14,13,49,8,25,40,35,77,79,35,FW,WF,Wide Threat,https://www.youtube.com/watch?v=U4Js3LtI5HY&t=4s
100,100,김포,박준희,11,0,0,21,230,105,15,70,40,22,27,33,50,0,48,63,90,53,DF,CB,SCB,https://www.youtube.com/watch?v=o1FKN90SAXQ
101,101,김포,정의찬,12,0,2,107,84,24,22,2,8,12,62,16,56,53,35,69,71,23,FW,CF,Roamer,https://www.youtube.com/watch?v=644OuuSTOEY&t=1s
102,102,김포,이중호,3,0,0,27,65,28,7,19,8,9,19,6,100,50,65,60,75,29,DF,FB,Safety,
103,103,김포,박재우,7,1,0,92,129,53,15,23,21,14,38,20,100,20,32,54,82,67,DF,FB,Safety,
104,104,김포,이상욱,31,0,0,0,6,872,0,31,141,0,53,7,0,0,0,41,98,0,GK,GK,Swiper goalkeeper,https://www.youtube.com/watch?v=FrwN0pIcGSk
105,105,김포,손석용,32,8,7,209,228,34,61,18,27,35,128,35,60,21,30,80,70,13,FW,WF,Wide Threat,https://www.youtube.com/watch?v=4iGAqxyVtP4
106,106,김포,박경록,32,0,1,54,684,283,54,228,145,60,130,108,44,100,62,75,83,44,DF,CB,Spreader,https://www.youtube.com/watch?v=U4Js3LtI5HY
107,107,김포,윤민호,29,8,2,221,332,23,28,8,14,15,115,28,60,34,37,84,77,54,FW,CF,Finisher,https://www.youtube.com/watch?v=Btnq3LTt-UY
108,108,김포,김이석,23,2,0,117,549,112,82,58,67,72,180,77,54,40,44,77,82,23,MF,CAM,Box crasher,https://www.youtube.com/watch?v=UfbFeURapnI
109,109,김포,권민재,7,1,2,63,104,21,19,3,7,10,49,14,55,0,20,89,86,32,FW,WF,Wide Threat,https://www.youtube.com/watch?v=GerTW-vqqdc
110,110,김포,김종민,19,2,0,12,352,201,31,121,77,33,66,45,60,0,57,72,85,35,DF,CB,Spreader,https://www.youtube.com/watch?v=k55GN18POYg
111,111,김포,박대한,27,1,0,234,596,173,39,96,76,49,143,56,54,48,44,67,82,15,DF,FB,Safety,https://www.youtube.com/watch?v=USRpFXYORNA
112,112,김포,최재훈,26,1,0,146,629,152,91,60,95,78,226,63,56,31,45,81,78,26,MF,CAM,Box crasher,https://www.youtube.com/watch?v=644OuuSTOEY
113,113,김포,양준아,11,2,1,57,304,103,23,43,50,10,72,27,88,50,70,73,82,74,DF,CB,SCB,https://www.youtube.com/watch?v=TilnH_JDwg4
114,114,김포,한정우,10,1,2,101,152,67,26,23,20,21,59,30,29,30,32,62,86,27,DF,FB,Safety,https://www.youtube.com/watch?v=6kEVhMfyTsE
115,115,김포,김수범,23,0,3,305,603,181,53,65,86,45,131,44,56,53,44,77,86,34,DF,FB,Safety,https://www.youtube.com/watch?v=JaRtl0ZeE-M
116,116,김포,조향기,14,3,1,131,223,16,10,20,11,3,61,14,47,0,40,72,69,30,FW,CF,Roamer,https://www.youtube.com/watch?v=yh1QnWlKj_I
117,117,김포,윤상혁,8,0,0,60,191,67,24,35,32,26,39,17,0,50,54,70,82,21,DF,FB,Safety,https://www.youtube.com/watch?v=wqjdTEdM4Tg
118,118,김포,황도연,5,0,0,0,71,82,6,23,15,9,14,10,0,0,54,93,87,50,DF,CB,SCB,https://www.youtube.com/watch?v=QavGHamR36w
119,119,김포,유리치치,2,0,0,29,29,2,7,4,2,3,16,5,20,0,47,42,51,14,FW,CF,Target,
120,120,김포,최민서,3,0,0,14,25,3,3,1,1,4,22,5,60,0,30,78,70,0,FW,CF,Finisher,
121,121,김포,이성재,4,0,0,28,121,13,14,7,11,11,43,15,50,100,56,91,77,43,MF,CAM,Box crasher,
122,122,김포,마루오카,3,0,0,41,51,8,12,5,7,4,17,7,67,0,40,74,88,42,MF,CDM,Builder,
123,123,김포,구본상,5,1,0,59,140,24,12,12,9,15,52,16,67,0,51,84,90,33,MF,CDM,Box to Box,
124,124,김포,이강연,20,1,0,31,452,204,48,120,89,36,90,44,40,33,56,82,90,17,DF,CB,SCB,https://www.youtube.com/watch?v=T8Jt4bhZpq4
125,125,김포,최봉진,11,0,0,0,3,321,1,20,61,2,21,3,0,0,0,38,100,100,GK,GK,Swiper goalkeeper,https://www.youtube.com/watch?v=Vwr4UluYHlY
126,126,김포,김태한,29,1,1,45,579,392,34,295,176,69,129,78,17,0,61,74,82,50,DF,CB,Spreader,https://www.youtube.com/watch?v=kv5b0AFKUfg&t=1s
127,127,대구,에드가,3,1,0,37,59,2,2,9,1,5,16,1,38,0,54,77,76,50,FW,CF,Roamer,
128,128,대구,오승훈,38,0,1,1,12,913,1,28,174,1,52,5,0,0,100,52,98,100,GK,GK,Goalkeeper,https://www.youtube.com/watch?v=l2W9X8SSlm4
129,129,대구,김희승,7,0,0,52,152,24,35,14,23,23,56,14,83,0,68,83,78,17,MF,CAM,Box crasher,https://www.youtube.com/watch?v=r82XMiQJLoA
130,130,대구,홍철,23,0,1,190,416,232,39,75,79,44,113,51,40,46,49,70,85,44,DF,FB,Safety,https://www.youtube.com/watch?v=CUFPK8knTk0
131,131,대구,안용우,5,2,2,66,100,27,7,11,12,7,21,6,75,86,35,79,87,43,FW,WF,Unlocker,https://www.youtube.com/watch?v=DsN7DV2IBzc
132,132,대구,박병현,8,0,0,2,137,77,17,41,22,22,23,31,100,50,56,79,93,47,DF,CB,SCB,https://www.youtube.com/watch?v=8SB7SXpLVMw
133,133,대구,김진혁,26,2,1,66,457,256,45,147,88,50,93,73,24,0,58,77,83,38,DF,CB,Spreader,https://www.youtube.com/watch?v=AT9kNTyTlG4
134,134,대구,홍정운,24,2,0,22,338,264,44,157,113,74,64,73,50,0,62,87,91,36,DF,CB,SCB,https://www.youtube.com/watch?v=ie6yZcA4sZ4
135,135,대구,고재현,28,13,2,164,158,64,43,16,27,24,119,38,72,33,35,77,73,35,FW,CF,Finisher,https://www.youtube.com/watch?v=pOfqfdMdJrU
136,136,대구,오후성,2,1,0,32,30,0,10,0,3,5,14,0,100,62,22,80,81,30,FW,WF,Wide Threat,
137,137,대구,정치인,5,0,0,60,46,7,10,6,7,10,15,5,69,33,25,78,73,10,FW,WF,Wide Threat,https://www.youtube.com/watch?v=un_yqEAKRjY
138,138,대구,장성원,11,0,2,125,147,92,35,27,20,34,35,26,50,46,55,79,82,40,DF,FB,Safety,https://www.youtube.com/watch?v=D-OwkItxDj0
139,139,대구,페냐,9,1,1,89,245,36,28,12,15,12,61,10,56,42,51,72,76,14,MF,CDM,Box to Box,https://www.youtube.com/watch?v=9AOGDa51D_s
140,140,대구,조진우,24,2,1,24,408,309,42,149,99,48,74,75,44,0,64,84,91,43,DF,CB,SCB,https://www.youtube.com/watch?v=MUjMexzlfmY
141,141,대구,이태희,19,0,1,80,127,329,16,35,47,20,57,15,71,50,62,52,88,38,DF,FB,Safety,https://www.youtube.com/watch?v=2LsxwHchbPM
142,142,대구,정태욱,36,1,1,85,599,372,46,261,160,68,122,94,44,40,72,80,85,46,DF,CB,SCB,https://www.youtube.com/watch?v=nH3RCo1MTQ0
143,143,대구,케이타,15,0,0,129,251,107,48,41,46,57,83,59,100,40,33,71,85,40,DF,FB,Safety,https://www.youtube.com/watch?v=s6XD_mUrN1g
144,144,대구,김우석,5,0,1,13,77,68,6,19,28,14,25,13,33,0,42,72,78,33,DF,CB,SCB,https://www.youtube.com/watch?v=yhANdEa7r8Q
145,145,대구,황재원,32,1,3,316,521,201,69,76,105,68,180,68,50,57,48,69,84,32,DF,FB,Safety,https://www.youtube.com/watch?v=saH0enrzors
146,146,대구,라마스,31,5,1,386,869,162,59,14,45,45,206,38,48,35,41,79,81,29,FW,WF,Unlocker,https://www.youtube.com/watch?v=VEUOxuW8AGw
147,147,대구,이용래,15,0,1,61,346,64,47,32,46,15,78,22,50,0,23,83,91,19,MF,CAM,Box crasher,https://www.youtube.com/watch?v=ZIc26QhdMeo
148,148,대구,이진용,28,0,0,123,469,122,120,49,77,89,190,65,27,14,53,79,80,27,MF,CAM,Box crasher,https://www.youtube.com/watch?v=gRim-pxsfNU
149,149,대구,이근호,10,2,0,101,97,22,15,15,10,12,41,24,38,22,39,54,68,27,FW,WF,Wide Threat,https://www.youtube.com/watch?v=rYcu7a3iD-8
150,150,대구,세징야,28,12,6,361,609,29,51,9,26,13,137,24,58,46,32,82,79,29,FW,WF,Wide Threat,https://www.youtube.com/watch?v=_hX9fcoiLNU
